title,date_enacted,jurisdiction,jurisdiction_name,general_reference,data_category,individual_rights,handler_responsibilities,sector,keywords,solove_classification,synopsis,pipl_mention,file_path,top_level_category
Hubei Province Price Appraisal Regulations for Involved Property,24.09.2009,provincial,Hubei Province,FALSE,general,[],"['Security & Management', 'Protection Officer']",[],[],[],,FALSE,3_local_regulations/湖北省涉案财物价格鉴证条例(FBM-CLI.10.341390).txt,3_local_regulations
Shandong Province Preschool Education Regulations,27.09.2019,provincial,Shandong Province,FALSE,general,[],[],['Education'],[],[],Regulates preschool education and child protection.,FALSE,3_local_regulations/山东省学前教育条例(2021修正)(FBM-CLI.10.4782873).txt,3_local_regulations
"Regulations on Handling Suggestions, Criticisms and Opinions of Representatives of the Ningxia Hui Autonomous Region People's Congress (2019 Revision)",27.09.2019,provincial,Ningxia Hui Autonomous Region,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/宁夏回族自治区人民代表大会代表建议、批评和...(FBM-CLI.10.1540600).txt,3_local_regulations
Suzhou Mental Health Regulations,31.12.2019,provincial,Jiangsu Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']",['Health & Social Work'],"['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulations to protect mental health patients' rights.,FALSE,3_local_regulations/苏州市精神卫生条例(FBM-CLI.10.1561707).txt,3_local_regulations
Pingxiang City Civilized Behavior Promotion Regulations,01.09.2020,city,Pingxiang City,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/萍乡市文明行为促进条例(FBM-CLI.10.1637151).txt,3_local_regulations
Xuzhou Elevator Safety Management Regulations (2023 Revision),12.01.2023,city,Xuzhou,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/徐州市电梯安全管理条例(2023修正)(FBM-CLI.10.6412740).txt,3_local_regulations
Longzhi City Civilization Behavior Promotion Regulations,01.07.2021,city,Longzhi City,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/长治市文明行为促进条例(FBM-CLI.10.1712861).txt,3_local_regulations
Measures for Implementing the Archives Law of the People's Republic of China in Zhejiang Province (Revised in 2002),28.06.2002,provincial,Zhejiang Province,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/浙江省实施《中华人民共和国档案法》办法(2002修...(FBM-CLI.10.38053).txt,3_local_regulations
Nanchang City Investment Environment Optimization Regulations,01.05.2004,city,Nanchang,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/南昌市优化投资环境条例(FBM-CLI.10.52619).txt,3_local_regulations
Shantou Administrative Law Enforcement Supervision Regulations,23.04.2008,city,Shantou,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/汕头市行政执法监督条例(FBM-CLI.10.243700).txt,3_local_regulations
Measures for Implementing the Women's Rights Protection Law of the People's Republic of China,21.02.1994,provincial,Hebei Province,FALSE,general,[],[],[],[],[],Promotes women's rights and equality.,FALSE,3_local_regulations/河北省实施《中华人民共和国妇女权益保障法》...(FBM-CLI.10.765).txt,3_local_regulations
Regulations on Promoting Civilized Behavior in Panzhihua City,24.06.2022,city,Panzhihua City,FALSE,general,[],"['Protection Officer', 'Compliance Audits']",[],[],[],,FALSE,3_local_regulations/攀枝花市文明行为促进条例(FBM-CLI.10.5505305).txt,3_local_regulations
Dongguan City Civilization Behavior Promotion Regulations,01.05.2023,city,Dongguan,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Promotes social civility and public order.,FALSE,3_local_regulations/东莞市文明行为促进条例(FBM-CLI.10.6846602).txt,3_local_regulations
Regulations on the Identification of Prices of Involved Goods in Hunan Province,26.09.2024,provincial,Hunan Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']",[],[],"['Information Collection', 'Information Processing']",Regulates price identification for involved goods.,FALSE,3_local_regulations/湖南省涉案物价格认定若干规定(FBM-CLI.10.7807300).txt,3_local_regulations
Regulations on the Registration Management of Corporate Legal Persons in Hainan Special Economic Zone (Revised in 2014),26.09.2014,provincial,Hainan Province,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/海南经济特区企业法人登记管理条例(2014修订)(FBM-CLI.10.899866).txt,3_local_regulations
Regulations on the Public Disclosure of Enterprise Credit Information in Guangdong Province,27.07.2007,provincial,Guangdong Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates public disclosure of enterprise credit information.,FALSE,3_local_regulations/广东省企业信用信息公开条例(FBM-CLI.10.173487).txt,3_local_regulations
Ningbo Elevator Safety Regulations,24.09.2020,city,Ningbo,TRUE,general,[],[],[],[],[],,FALSE,3_local_regulations/宁波市电梯安全条例(FBM-CLI.10.1643318).txt,3_local_regulations
Shandong Province Student Physical Health Promotion Regulations,21.09.2018,provincial,Shandong Province,FALSE,general,[],[],"['Education', 'Health & Social Work']",[],[],Promotes student health and physical activities.,FALSE,3_local_regulations/山东省学生体质健康促进条例(FBM-CLI.10.1475476).txt,3_local_regulations
Gansu Province Mental Health Regulations,29.09.2016,provincial,Gansu Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Next of Kin']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']",['Health & Social Work'],"['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates mental health services and patient privacy.,FALSE,3_local_regulations/甘肃省精神卫生条例(FBM-CLI.10.1222539).txt,3_local_regulations
Sichuan Provincial Legal Aid Regulations (2014 Revision),20.03.2014,provincial,Sichuan Province,FALSE,general,[],"['Security & Management', 'Protection Officer']","['Public Administration, Social Security & Social Organizations']",[],[],Regulations for legal aid services in Sichuan.,FALSE,3_local_regulations/四川省法律援助条例(2014修订)(FBM-CLI.10.833477).txt,3_local_regulations
Shenzhen Special Economic Zone Property Management Regulations (2024 Revision),30.04.2024,city,Shenzhen,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],[],Regulates property management and owner rights.,FALSE,3_local_regulations/深圳经济特区物业管理条例(2024修正)(FBM-CLI.10.7497166).txt,3_local_regulations
Tianjin Minor Protection Regulations (2007 Revision),15.11.2007,city,Tianjin,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Next of Kin']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Education', 'Health & Social Work']",['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Invasion']",Protects minors' rights and personal information.,FALSE,3_local_regulations/天津市未成年人保护条例(2007修订)(FBM-CLI.10.189306).txt,3_local_regulations
Regulations on the Supervision of the Standing Committee of the People's Congress at All Levels of Anhui Province (Revised in 2007),28.01.2007,provincial,Anhui Province,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/安徽省各级人民代表大会常务委员会监督条例(...(FBM-CLI.10.145259).txt,3_local_regulations
Shantou Special Economic Zone Administrative Review Regulations (2023 Revision),16.06.2023,city,Shantou,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/汕头经济特区行政复议条例(2023修正)(FBM-CLI.10.6994789).txt,3_local_regulations
Shanghai Inspection and Testing Regulations (2024 Revision),31.12.2024,provincial,Shanghai,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates inspection and testing activities.,FALSE,3_local_regulations/上海市检验检测条例(2024修正)(FBM-CLI.10.8442199).txt,3_local_regulations
Guizhou Province Consumer Rights Protection Regulations,24.11.2006,provincial,Guizhou Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification']","['Wholesale & Retail Trade', 'Health & Social Work', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulations to protect consumer rights.,FALSE,3_local_regulations/贵州省消费者权益保护条例(2006)(FBM-CLI.10.117044).txt,3_local_regulations
Regulations on Legal Aid in Jilin Province,28.11.2019,provincial,Jilin Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates legal aid services for citizens.,FALSE,3_local_regulations/吉林省法律援助条例(FBM-CLI.10.1551076).txt,3_local_regulations
Mianyang Civilization Behavior Promotion Regulations,24.02.2021,city,Mianyang,TRUE,general,[],[],[],[],[],,FALSE,3_local_regulations/绵阳市文明行为促进条例(FBM-CLI.10.4070050).txt,3_local_regulations
Regulations on the Cooperation Demonstration Zone for Emerging Industries and Modern Service Industries across the Taiwan Strait in Xiamen,29.08.2014,city,Xiamen,TRUE,general,[],[],[],[],[],,FALSE,3_local_regulations/厦门经济特区两岸新兴产业和现代服务业合作示...(FBM-CLI.10.915958).txt,3_local_regulations
Regulations on Promoting the Development and Application of Big Data in Tianjin,14.12.2018,city,Tianjin,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations', 'Information Transmission, Software & IT Services']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates big data development and application.,FALSE,3_local_regulations/天津市促进大数据发展应用条例(FBM-CLI.10.1487171).txt,3_local_regulations
Regulations on Home and Community Elderly Care Services in Tai'an,26.09.2024,provincial,Shandong Province,FALSE,general,[],[],['Health & Social Work'],[],[],Regulates elderly care services and protections.,FALSE,3_local_regulations/泰安市居家和社区养老服务条例(FBM-CLI.10.7827970).txt,3_local_regulations
Wuxi City Appearance and Environmental Sanitation Management Regulations (2024 Revision),29.10.2024,city,Wuxi,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Processing', 'Information Dissemination']",Regulates urban sanitation and public health.,FALSE,3_local_regulations/无锡市市容和环境卫生管理条例(2024修订)(FBM-CLI.10.8193065).txt,3_local_regulations
Shenzhen Special Economic Zone Property Management Regulations (2019 Revision),29.08.2019,city,Shenzhen,FALSE,general,[],"['Security & Management', 'Incident Response & Notification', 'Compliance Audits']","['Real Estate', 'Public Administration, Social Security & Social Organizations']",[],[],Regulates property management and owner rights.,FALSE,3_local_regulations/深圳经济特区物业管理条例(2019修订)(FBM-CLI.10.1536905).txt,3_local_regulations
Shenzhen Special Economic Zone Mental Health Regulations,30.08.2011,city,Shenzhen,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Next of Kin']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']",['Health & Social Work'],['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates mental health services and protects patient privacy.,FALSE,3_local_regulations/深圳经济特区心理卫生条例(FBM-CLI.10.535544).txt,3_local_regulations
Regulations on Mental Health of Inner Mongolia Autonomous Region,26.11.2020,provincial,Inner Mongolia Autonomous Region,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification']",['Health & Social Work'],"['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulates mental health services and patient rights.,FALSE,3_local_regulations/内蒙古自治区精神卫生条例(FBM-CLI.10.1673955).txt,3_local_regulations
Jinhua City Civilization Behavior Promotion Regulations (2020 Revision),01.05.2019,city,Jinhua City,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/金华市文明行为促进条例(2020修正)(FBM-CLI.10.1625378).txt,3_local_regulations
Beijing Minor Protection Regulations (2023 Revision),26.05.2023,city,Beijing,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Education', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulations to protect minors' rights and privacy.,FALSE,3_local_regulations/北京市未成年人保护条例(2023修订)(FBM-CLI.10.6938217).txt,3_local_regulations
Yunnan Province Optimization of Business Environment Regulations,28.09.2022,provincial,Yunnan Province,TRUE,general,[],[],[],[],[],Regulations to enhance business environment.,FALSE,3_local_regulations/云南省优化营商环境条例(FBM-CLI.10.5570958).txt,3_local_regulations
Yunnan Province Administrative Review Regulations,26.05.2000,provincial,Yunnan Province,TRUE,general,[],[],[],[],[],,FALSE,3_local_regulations/云南省行政复议条例(FBM-CLI.10.17488).txt,3_local_regulations
Regulations on Promoting Civilized Behavior in Nujiang Lisu Autonomous Prefecture,30.10.2023,provincial,Yunnan Province,TRUE,general,[],[],[],[],[],,FALSE,3_local_regulations/怒江傈僳族自治州文明行为促进条例(FBM-CLI.10.7294414).txt,3_local_regulations
Qinghai Province Legal Aid Regulations (2004 Revision),29.05.2004,provincial,Qinghai Province,FALSE,general,[],"['Security & Management', 'Protection Officer']","['Public Administration, Social Security & Social Organizations']",[],[],Regulates legal aid services for citizens.,FALSE,3_local_regulations/青海省法律援助条例(2004修正)(FBM-CLI.10.53832).txt,3_local_regulations
Regulations on the Management of Auxiliary Police Personnel of Public Security Organs in Jiangsu Province,25.09.2020,provincial,Jiangsu Province,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/江苏省公安机关警务辅助人员管理条例(FBM-CLI.10.1639000).txt,3_local_regulations
Regulations on Safe Construction in Zhuhai Special Economic Zone,31.12.2024,city,Zhuhai,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates social governance and public safety.,FALSE,3_local_regulations/珠海经济特区平安建设条例(FBM-CLI.10.8440354).txt,3_local_regulations
Beijing Implementation Measures for the Women's Rights Protection Law of the People's Republic of China,21.05.1994,city,Beijing,FALSE,general,[],[],[],[],[],Promotes women's rights and gender equality.,FALSE,3_local_regulations/北京市实施《中华人民共和国妇女权益保障法》...(FBM-CLI.10.64).txt,3_local_regulations
Guangzhou Donation Regulations,01.05.2012,city,Guangzhou,FALSE,general,"['Know & Decide', 'Access & Copy', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates donation activities and protects donors' rights.,FALSE,3_local_regulations/广州市募捐条例(FBM-CLI.10.581583).txt,3_local_regulations
Shaanxi Province Big Data Regulation,29.09.2022,provincial,Shaanxi Province,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations', 'Health & Social Work']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates big data management and protection.,FALSE,3_local_regulations/陕西省大数据条例(FBM-CLI.10.5577942).txt,3_local_regulations
Regulations on Promoting Civilized Behavior in Baoshan City,28.10.2022,city,Baoshan City,FALSE,general,[],[],[],[],[],Promotes civilized behavior and social norms.,FALSE,3_local_regulations/保山市文明行为促进条例(FBM-CLI.10.5675859).txt,3_local_regulations
Shenzhen Special Economic Zone Food Safety Supervision Regulations (2020 Revision),12.01.2018,city,Shenzhen,FALSE,general,[],[],"['Public Administration, Social Security & Social Organizations']",[],[],,FALSE,3_local_regulations/深圳经济特区食品安全监督条例(2020修正)(FBM-CLI.10.1676536).txt,3_local_regulations
Several Provisions of Jilin Province on Ensuring Lawyers to Perform Their Duties,08.05.1993,provincial,Jilin Province,FALSE,general,[],"['Security & Management', 'Protection Officer']","['Public Administration, Social Security & Social Organizations']",[],[],Regulations to protect lawyers' duties.,FALSE,3_local_regulations/吉林省保障律师执行职务的若干规定(FBM-CLI.10.8809).txt,3_local_regulations
Regulations on Lawyers' Execution of Duties in Inner Mongolia Autonomous Region,30.12.1992,provincial,Inner Mongolia Autonomous Region,FALSE,general,[],['Security & Management'],"['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates lawyer duties and client privacy.,FALSE,3_local_regulations/内蒙古自治区律师执行职务条例(FBM-CLI.10.8725).txt,3_local_regulations
Implementation Measures of the Law of the People's Republic of China on the Protection of Minors in Ningxia Hui Autonomous Region,14.02.1996,provincial,Ningxia Hui Autonomous Region,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Education', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Protects minors' rights and personal information.,FALSE,3_local_regulations/宁夏回族自治区实施《中华人民共和国未成年人...(FBM-CLI.10.6676).txt,3_local_regulations
Regulations on the Prevention and Punishment of Domestic Violence in Hangzhou,18.12.2009,provincial,Zhejiang Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations', 'Health & Social Work']",[],"['Information Collection', 'Information Processing']",Regulations to prevent domestic violence.,FALSE,3_local_regulations/杭州市预防和制止家庭暴力条例(FBM-CLI.10.436393).txt,3_local_regulations
Regulations on the Supervision of Standard Contract Clauses in Xinjiang Uygur Autonomous Region (2020 Revision),19.09.2020,provincial,Xinjiang Uygur Autonomous Region,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates standard contract clauses and protects privacy.,FALSE,3_local_regulations/新疆维吾尔自治区合同格式条款监督条例(2020修正...(FBM-CLI.10.1640972).txt,3_local_regulations
Regulations on People's Mediation in Jiangsu Province,31.07.2015,provincial,Jiangsu Province,FALSE,general,[],"['Security & Management', 'Protection Officer']",[],[],[],Regulates mediation processes and responsibilities.,FALSE,3_local_regulations/江苏省人民调解条例(FBM-CLI.10.1105082).txt,3_local_regulations
Xianyang City Civilization Behavior Promotion Regulations,27.08.2021,city,Xianyang City,TRUE,general,[],[],[],[],[],,FALSE,3_local_regulations/咸阳市文明行为促进条例(FBM-CLI.10.4283870).txt,3_local_regulations
Regulations on the Concentration of Administrative Penalty Authority in Zhuhai,27.05.2005,city,Zhuhai,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/珠海市相对集中行政处罚权条例(FBM-CLI.10.69648).txt,3_local_regulations
Shaanxi Province Population and Family Planning Regulations (2009 Revision),27.05.2009,provincial,Shaanxi Province,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/陕西省人口与计划生育条例(2009修订)(FBM-CLI.10.308966).txt,3_local_regulations
Shandong Province Optimization of Business Environment Regulations,25.09.2020,provincial,Shandong Province,FALSE,general,[],[],[],[],[],Regulations to enhance business environment.,FALSE,3_local_regulations/山东省优化营商环境条例(FBM-CLI.10.1638499).txt,3_local_regulations
Regulations on Auxiliary Police Personnel of Public Security Organs in Shandong Province,28.07.2022,provincial,Shandong Province,TRUE,general,[],[],[],[],[],,FALSE,3_local_regulations/山东省公安机关警务辅助人员条例(FBM-CLI.10.5493124).txt,3_local_regulations
Regulations on AIDS Prevention and Control in Guangdong Province,30.11.2022,provincial,Guangdong Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']",['Health & Social Work'],"['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Protects personal information of AIDS patients.,FALSE,3_local_regulations/广东省艾滋病防治条例(FBM-CLI.10.5693013).txt,3_local_regulations
Regulations on Volunteer Service in Anhui Province,29.11.2019,provincial,Anhui Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates volunteer service and protects personal data.,FALSE,3_local_regulations/安徽省志愿服务条例(FBM-CLI.10.1551449).txt,3_local_regulations
Regulations on the Prevention and Handling of Medical Disputes in Hebei Province,30.03.2022,provincial,Hebei Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']",['Health & Social Work'],['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates medical dispute prevention and patient privacy.,FALSE,3_local_regulations/河北省医疗纠纷预防和处理条例(FBM-CLI.10.5056457).txt,3_local_regulations
Chengdu Legal Aid Regulations,30.08.2011,city,Chengdu,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits']","['Public Administration, Social Security & Social Organizations']",[],[],Regulates legal aid services for citizens.,FALSE,3_local_regulations/成都市法律援助条例(FBM-CLI.10.693172).txt,3_local_regulations
Regulations on Grassroots Grid Service Management in Puyang City,05.07.2024,provincial,Henan Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates grassroots service management and data protection.,FALSE,3_local_regulations/濮阳市基层网格化服务管理条例(FBM-CLI.10.7719863).txt,3_local_regulations
Regulations on Land Management of Zhuhai Special Economic Zone (2020 Revision),27.11.2020,city,Zhuhai,TRUE,general,[],[],[],[],[],,FALSE,3_local_regulations/珠海经济特区土地管理条例(2020修正)(FBM-CLI.10.1659149).txt,3_local_regulations
Regulations on the Supervision and Administration of Administrative Licensing in Guangdong Province,29.05.2014,provincial,Guangdong Province,TRUE,general,[],[],[],[],[],,FALSE,3_local_regulations/广东省行政许可监督管理条例(FBM-CLI.10.863737).txt,3_local_regulations
Hubei Province Regulation on Optimizing the Business Environment,25.11.2022,provincial,Hubei Province,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/湖北省优化营商环境条例(FBM-CLI.10.5662792).txt,3_local_regulations
Shandong Province Preschool Education Regulations,27.09.2019,provincial,Shandong Province,TRUE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Next of Kin']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']",['Education'],"['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Invasion']",Regulates preschool education and child protection.,FALSE,3_local_regulations/山东省学前教育条例(FBM-CLI.10.1539722).txt,3_local_regulations
Shanghai Inspection and Testing Regulations,11.11.2016,city,Shanghai,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates inspection and testing activities.,FALSE,3_local_regulations/上海市检验检测条例(FBM-CLI.10.1236346).txt,3_local_regulations
Guangzhou Elderly Care Service Regulations,01.10.2021,city,Guangzhou,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']",['Health & Social Work'],[],['Information Processing'],Regulates elderly care services and protects rights.,FALSE,3_local_regulations/广州市养老服务条例(FBM-CLI.10.4082996).txt,3_local_regulations
Interim Provisions on the Gradual Petitioning and Graded Acceptance of the People of Qinghai Province,22.04.1996,provincial,Qinghai Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']",[],[],"['Information Collection', 'Information Processing']",Regulates public petitioning processes.,FALSE,3_local_regulations/青海省人民群众逐级上访和分级受理暂行规定(FBM-CLI.10.9473).txt,3_local_regulations
Hubei Province Contract Supervision Regulations,29.11.2003,provincial,Hubei Province,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/湖北省合同监督条例(FBM-CLI.10.49162).txt,3_local_regulations
Qinghai Province Judicial Appraisal Regulations,29.05.2014,provincial,Qinghai Province,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits']","['Public Administration, Social Security & Social Organizations']",[],[],,FALSE,3_local_regulations/青海省司法鉴定条例(FBM-CLI.10.878495).txt,3_local_regulations
Regulations on the Protection of Rights and Interests of Enterprises and Business Operators in Guangdong Province (2017 Revision),28.09.2017,provincial,Guangdong Province,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/广东省企业和企业经营者权益保护条例(2017修订)(FBM-CLI.10.1459143).txt,3_local_regulations
Beijing Petition Regulations (Revised 2006),15.09.2006,city,Beijing,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulates petition rights and procedures.,FALSE,3_local_regulations/北京市信访条例(2006修订)(FBM-CLI.10.111413).txt,3_local_regulations
Zhejiang Employment Promotion Regulations,31.05.2024,provincial,Zhejiang Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulations to promote employment and protect rights.,FALSE,3_local_regulations/浙江省就业促进条例(FBM-CLI.10.7546758).txt,3_local_regulations
Henan Provincial Social Credit Regulations,29.11.2019,provincial,Henan Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates social credit information management.,FALSE,3_local_regulations/河南省社会信用条例(FBM-CLI.10.1554471).txt,3_local_regulations
Shaanxi Province Postal Regulations (2020 Revision),11.06.2020,provincial,Shaanxi Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']",[],"['Information Collection', 'Information Processing']",Regulates postal services and user privacy.,FALSE,3_local_regulations/陕西省邮政条例(2020修正)(FBM-CLI.10.1602445).txt,3_local_regulations
Tianjin Youth Volunteer Service Regulations,19.12.2007,city,Tianjin,FALSE,general,"['Know & Decide', 'Access & Copy']","['Security & Management', 'Protection Officer']","['Public Administration, Social Security & Social Organizations']",['Parental Consent for Minors'],"['Information Collection', 'Information Processing']",Regulates youth volunteer activities and rights.,FALSE,3_local_regulations/天津市青年志愿服务条例(FBM-CLI.10.194182).txt,3_local_regulations
