title,date_enacted,jurisdiction,jurisdiction_name,general_reference,data_category,individual_rights,handler_responsibilities,sector,keywords,solove_classification,synopsis,pipl_mention,file_path,top_level_category
Measures for the Implementation of the Anti-Domestic Violence Law of the People's Republic of China in Anhui Province,2022-07-29,provincial,Anhui Province,True,general,[],[],"['Public Administration, Social Security & Social Organizations']",[],[],,False,privacy/3_local_regulations/安徽省实施《中华人民共和国反家庭暴力法》办...(FBM-CLI.10.5497373).txt,privacy
Henan Province Digital Economy Promotion Regulation,2021-12-28,provincial,Henan Province,False,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Agriculture, Forestry, Animal Husbandry & Fishery', 'Manufacturing', 'Transportation, Storage & Postal Services', 'Health & Social Work', 'Education', 'Financial Intermediation', 'Public Administration, Social Security & Social Organizations']",['Cross-Border Transfer'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Promotes data security and individual rights in digital economy,False,privacy/3_local_regulations/河南省数字经济促进条例(FBM-CLI.10.4816904).txt,privacy
Shanxi Province Foreign Investment Promotion Regulation,2021-11-25,provincial,Shanxi Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/山西省外来投资促进条例(FBM-CLI.10.4778852).txt,privacy
Shanxi Province Volunteer Service Regulations (2019 Revision),2019-07-31,provincial,Shanxi Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/山西省志愿服务条例(2019修订)(FBM-CLI.10.1532858).txt,privacy
Beijing Promotion of Jing-Jin-Ji Social Security Card Integration Regulation,2024-09-27,city,Beijing City,False,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations', 'Health & Social Work', 'Transportation, Storage & Postal Services', 'Culture, Sports & Entertainment']",[],['Information Processing'],Promotes integrated social security card services with data protection measures,False,privacy/3_local_regulations/北京市推进京津冀社会保障卡一卡通规定(FBM-CLI.10.7828376).txt,privacy
Regulations of Qianhai Shenzhen-Hong Kong Modern Service Industry Cooperation Zone,2011-06-27,city,Shenzhen City,True,general,[],[],"['Financial Intermediation', 'Information Transmission, Software & IT Services', 'Leasing & Business Services']",[],[],,False,privacy/3_local_regulations/深圳经济特区前海深港现代服务业合作区条例(FBM-CLI.10.512947).txt,privacy
Jiangsu Province Road Transport Regulations (2024 Revision),2024-05-29,provincial,Jiangsu Province,True,general,[],[],"['Transportation, Storage & Postal Services']",[],[],,False,privacy/3_local_regulations/江苏省道路运输条例(2024修订)(FBM-CLI.10.7547662).txt,privacy
Jiangsu Province Regulation on Optimizing the Business Environment,2020-11-27,provincial,Jiangsu Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/江苏省优化营商环境条例(FBM-CLI.10.1661712).txt,privacy
Changsha City Peace Construction Regulation,2022-06-28,city,Changsha City,True,general,[],[],[],[],[],Promotes social security with limited privacy focus,False,privacy/3_local_regulations/长沙市平安建设条例(FBM-CLI.10.5507397).txt,privacy
Chongqing City Public Bus Passenger Transport Regulations,2018-09-29,city,Chongqing City,True,general,[],[],"['Transportation, Storage & Postal Services']",[],[],,False,privacy/3_local_regulations/重庆市公共汽车客运条例(FBM-CLI.10.1476015).txt,privacy
Wenshan Zhuang and Miao Autonomous Prefecture Elderly Care Service Promotion Regulation,2024-12-20,provincial,Yunnan Province,True,general,[],[],['Health & Social Work'],[],[],Promotes elderly care services without specific privacy measures,False,privacy/3_local_regulations/文山壮族苗族自治州养老服务促进条例(FBM-CLI.10.8637009).txt,privacy
Wuxi City Home-based Elderly Care Service Regulations,2024-02-28,city,Wuxi City,True,general,[],[],['Health & Social Work'],[],[],Regulates home-based elderly care services without specific privacy provisions,False,privacy/3_local_regulations/无锡市居家养老服务条例(FBM-CLI.10.7453113).txt,privacy
Decision of the Standing Committee of the Hubei Provincial People's Congress on Strengthening the Supervision of Judicial Work,2017-11-29,provincial,Hubei Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/湖北省人民代表大会常务委员会关于加强对司法...(FBM-CLI.10.1418702).txt,privacy
Ningbo Municipal Regulations on Prevention of Duty-related Crimes,2005-01-13,city,Ningbo City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/宁波市预防职务犯罪条例(FBM-CLI.10.69451).txt,privacy
Handan City Urban Public Bus Passenger Transport Regulations,2019-09-01,city,Handan City,True,general,[],[],"['Transportation, Storage & Postal Services']",[],[],,False,privacy/3_local_regulations/邯郸市城市公共汽车客运条例(FBM-CLI.10.1535470).txt,privacy
Guangdong Province Red Cross Society Regulations (2019 Revision),2019-03-28,provincial,Guangdong Province,True,general,[],[],"['Health & Social Work', 'Public Administration, Social Security & Social Organizations']",[],[],,False,privacy/3_local_regulations/广东省红十字会条例(2019修订)(FBM-CLI.10.1508505).txt,privacy
Tongchuan City Civilized Behavior Promotion Regulations,2020-06-18,city,Tongchuan City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/铜川市文明行为促进条例(FBM-CLI.10.1644789).txt,privacy
Weihai City Civilized Behavior Promotion Regulation,2018-09-21,city,Weihai City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/威海市文明行为促进条例(FBM-CLI.10.1475623).txt,privacy
Guangdong Province Civilized Behavior Promotion Regulation,2021-07-30,provincial,Guangdong Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/广东省文明行为促进条例(FBM-CLI.10.4216122).txt,privacy
Sanmenxia City Civilized Behavior Promotion Regulation,2020-08-31,city,Sanmenxia City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/三门峡市文明行为促进条例(FBM-CLI.10.1653634).txt,privacy
Hebei Province Administrative Licensing Regulation,2014-09-26,provincial,Hebei Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/河北省行政许可条例(FBM-CLI.10.1079495).txt,privacy
Regulations on the Discussion and Decision of Major Matters by the Standing Committees of People's Congresses at All Levels in Guangdong Province (2017 Revision),2017-11-30,provincial,Guangdong Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/广东省各级人民代表大会常务委员会讨论决定重...(FBM-CLI.10.1420900).txt,privacy
Liaoning Province Property Management Regulations (2023 Amendment),2017-11-30,provincial,Liaoning Province,True,general,[],[],"['Resident Services, Repair & Other Services']",[],[],,False,privacy/3_local_regulations/辽宁省物业管理条例(2023修正)(FBM-CLI.10.7071995).txt,privacy
Tibet Autonomous Region Volunteer Service Regulations,2015-01-14,provincial,Tibet Autonomous Region,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/西藏自治区志愿服务条例(FBM-CLI.10.1259697).txt,privacy
Shanghai Implementation Measures for the Law of the People's Republic of China on the Protection of Women's Rights and Interests,1994-12-08,city,Shanghai City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/上海市实施《中华人民共和国妇女权益保障法》...(FBM-CLI.10.4325).txt,privacy
Zhejiang Province Volunteer Service Regulations,2007-11-23,provincial,Zhejiang Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/浙江省志愿服务条例(FBM-CLI.10.196767).txt,privacy
Shantou Special Economic Zone Social Workers Regulation,2014-12-29,city,Shantou City,True,general,[],[],"['Resident Services, Repair & Other Services', 'Public Administration, Social Security & Social Organizations']",[],[],Regulates social workers and services without specific privacy provisions,False,privacy/3_local_regulations/汕头经济特区社会工作者条例(FBM-CLI.10.1019200).txt,privacy
Chongqing Municipal Public Security Auxiliary Personnel Regulations,2021-07-29,city,Chongqing City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/重庆市公安机关警务辅助人员条例(FBM-CLI.10.4215942).txt,privacy
Fujian Province House Use Safety Management Regulations,2025-03-25,provincial,Fujian Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/福建省房屋使用安全管理条例(FBM-CLI.10.8687898).txt,privacy
Qingdao Volunteer Service Regulations,2008-05-29,city,Qingdao City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/青岛市志愿服务条例(FBM-CLI.10.238183).txt,privacy
Zhuhai Special Economic Zone Land Management Regulations (2023 Amendment),2016-03-01,city,Zhuhai City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/珠海经济特区土地管理条例(2023修正)(FBM-CLI.10.7289389).txt,privacy
Jilin Province Family Education Promotion Regulation,2025-03-27,provincial,Jilin Province,True,general,[],[],['Education'],[],[],"Promotes family education, respects minors' privacy",False,privacy/3_local_regulations/吉林省家庭教育促进条例(FBM-CLI.10.8682754).txt,privacy
Regulations on the Management of Auxiliary Police Personnel of Public Security Organs in Anhui Province,2020-12-24,provincial,Anhui Province,True,general,[],[],"['Public Administration, Social Security & Social Organizations']",[],[],,False,privacy/3_local_regulations/安徽省公安机关警务辅助人员管理条例(FBM-CLI.10.1673227).txt,privacy
Fujian Province Elderly Care Service Regulation,2022-09-28,provincial,Fujian Province,True,general,[],[],['Health & Social Work'],[],[],"Regulates elderly care services, no specific privacy measures",False,privacy/3_local_regulations/福建省养老服务条例(FBM-CLI.10.5582462).txt,privacy
Jiangsu Province Regulations on Prevention and Handling of Personal Injury Accidents of Primary and Secondary School Students (2025 Amendment),2006-11-30,provincial,Jiangsu Province,True,general,[],[],['Education'],[],[],,False,privacy/3_local_regulations/江苏省中小学生人身伤害事故预防与处理条例(...(FBM-CLI.10.8704979).txt,privacy
Measures for the Implementation of the Law on the Protection of Women's Rights and Interests in Tibet Autonomous Region (2009 Revision),2010-01-01,provincial,Tibet Autonomous Region,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/西藏自治区实施《中华人民共和国妇女权益保障...(FBM-CLI.10.378696).txt,privacy
Yunnan Province Judicial Appraisal Management Regulations,2016-09-29,provincial,Yunnan Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/云南省司法鉴定管理条例(FBM-CLI.10.1222026).txt,privacy
Shanghai Petition Regulations (2012 Revision),2012-12-26,city,Shanghai City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/上海市信访条例(2012修订)(FBM-CLI.10.691191).txt,privacy
Nantong City Rail Transit Regulations,2021-12-02,city,Nantong City,True,general,[],[],"['Transportation, Storage & Postal Services', 'Public Administration, Social Security & Social Organizations']",[],[],,False,privacy/3_local_regulations/南通市轨道交通条例(FBM-CLI.10.4784722).txt,privacy
Chongqing Rail Transit Regulations,2011-03-25,city,Chongqing City,True,general,[],[],"['Transportation, Storage & Postal Services']",[],[],,False,privacy/3_local_regulations/重庆市轨道交通条例(FBM-CLI.10.489566).txt,privacy
Jiangsu Province Enterprise and Institution Internal Security Protection Regulations,2014-11-27,provincial,Jiangsu Province,True,general,[],[],"['Information Transmission, Software & IT Services', 'Financial Intermediation', 'Education', 'Health & Social Work', 'Public Administration, Social Security & Social Organizations']",[],[],,False,privacy/3_local_regulations/江苏省企业事业单位内部治安保卫条例(FBM-CLI.10.935148).txt,privacy
Ningxia Hui Autonomous Region Administrative Law Enforcement Supervision Regulations (2021 Amendment),2003-09-02,provincial,Ningxia Hui Autonomous Region,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/宁夏回族自治区行政执法监督条例(2021修正)(FBM-CLI.10.4781960).txt,privacy
Regulations on the Supervision of Standing Committees of People's Congresses at or above County Level in Yunnan Province (1995 Revision),1995-05-31,provincial,Yunnan Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/云南省县级以上的地方各级人民代表大会常务委...(FBM-CLI.10.42998).txt,privacy
Cangzhou City Civilized Behavior Promotion Regulations,2021-11-23,city,Cangzhou City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/沧州市文明行为促进条例(FBM-CLI.10.4720516).txt,privacy
Chengde City Grassroots Conflict Investigation and Resolution Regulation,2024-09-19,city,Chengde City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/承德市基层矛盾纠纷排查化解条例(FBM-CLI.10.8053443).txt,privacy
Regulations on the Supervision of Judicial Organs by the Standing Committee of the Hebei Provincial People's Congress (2023 Revision),2015-09-25,provincial,Hebei Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/河北省人民代表大会常务委员会关于监督司法机...(FBM-CLI.10.6946310).txt,privacy
Guizhou Provincial Government Data Sharing and Opening Regulations,2020-09-25,provincial,Guizhou Province,False,general,[],"['Security & Management', 'Incident Response & Notification', 'Outsourced Processing']","['Agriculture, Forestry, Animal Husbandry & Fishery', 'Health & Social Work', 'Financial Intermediation', 'Education', 'Transportation, Storage & Postal Services', 'Public Administration, Social Security & Social Organizations', 'Information Transmission, Software & IT Services']",[],"['Information Processing', 'Information Dissemination']",Regulates government data sharing and protection,False,privacy/3_local_regulations/贵州省政府数据共享开放条例(FBM-CLI.10.1638110).txt,privacy
Xuancheng City Homestay Promotion Regulation,2024-10-29,city,Xuancheng City,True,general,[],[],"['Accommodation & Catering', 'Culture, Sports & Entertainment', 'Public Administration, Social Security & Social Organizations']",[],[],"Promotes homestay development, no specific privacy measures",False,privacy/3_local_regulations/宣城市民宿促进条例(FBM-CLI.10.8041006).txt,privacy
Zhejiang Province Public Data Regulation,2022-01-21,provincial,Zhejiang Province,False,general,"['Access & Copy', 'Rectification', 'Erasure', 'Convenient Exercise & Remedy']","['Security & Management', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Outsourced Processing']","['Public Administration, Social Security & Social Organizations', 'Information Transmission, Software & IT Services', 'Financial Intermediation', 'Health & Social Work']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates public data management and security,False,privacy/3_local_regulations/浙江省公共数据条例(FBM-CLI.10.4854788).txt,privacy
Haikou Municipal People's Congress Standing Committee Decision on Amendments to the Haikou Dust Pollution Prevention Measures and Other Two Regulations,2022-04-02,city,Haikou City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/海口市人民代表大会常务委员会关于修改《海口...(FBM-CLI.10.5063210).txt,privacy
Interim Regulations on Arbitration Procedures of Nanning City,1993-04-24,city,Nanning City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/南宁市仲裁程序暂行条例(FBM-CLI.10.9306).txt,privacy
Nanyang City Civilized Behavior Promotion Regulation,2021-07-01,city,Nanyang City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/南阳市文明行为促进条例(FBM-CLI.10.4201670).txt,privacy
Rules of Procedure of the Guizhou Provincial People's Congress (2025 Revision),2014-01-20,provincial,Guizhou Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/贵州省人民代表大会议事规则(2025修正)(FBM-CLI.10.8472134).txt,privacy
Measures for the Implementation of the Maternity and Infant Health Care Law of the People's Republic of China in Anhui Province (2023 Revision),1996-12-01,provincial,Anhui Province,True,general,[],[],['Health & Social Work'],[],[],,False,privacy/3_local_regulations/安徽省实施《中华人民共和国母婴保健法》办法...(FBM-CLI.10.6944742).txt,privacy
Ningxia Hui Autonomous Region Volunteer Service Regulations (2019 Revision),2019-07-17,provincial,Ningxia Hui Autonomous Region,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/宁夏回族自治区志愿服务条例(2019修订)(FBM-CLI.10.1531699).txt,privacy
Decision of the Standing Committee of the Jiangxi Provincial People's Congress on Amending 11 Local Regulations Including the Jiangxi Fire Protection Regulations,2020-11-25,provincial,Jiangxi Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/江西省人民代表大会常务委员会关于修改《江西...(FBM-CLI.10.1678338).txt,privacy
Xingtai City Industrial Heritage Protection and Utilization Regulation,2019-09-28,city,Xingtai City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/邢台市工业遗产保护与利用条例(FBM-CLI.10.1554497).txt,privacy
Shantou Special Economic Zone Primary Medical and Health Service Regulations,2022-12-30,city,Shantou City,False,sensitive,['Convenient Exercise & Remedy'],"['Security & Management', 'Incident Response & Notification']",['Health & Social Work'],[],"['Information Processing', 'Information Dissemination']",Regulates primary healthcare data protection and privacy,False,privacy/3_local_regulations/汕头经济特区基层医疗卫生服务条例(FBM-CLI.10.5754013).txt,privacy
Anhui Province Special Industry Public Security Management Regulations,2014-09-26,provincial,Anhui Province,False,general,[],"['Security & Management', 'Incident Response & Notification', 'Outsourced Processing']","['Accommodation & Catering', 'Wholesale & Retail Trade', 'Leasing & Business Services']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates special industry security and data management,False,privacy/3_local_regulations/安徽省特种行业治安管理条例(FBM-CLI.10.897535).txt,privacy
Qingdao Implementation Measures for the Law of the People's Republic of China on the Protection of Women's Rights and Interests,2010-09-29,city,Qingdao City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/青岛市实施《中华人民共和国妇女权益保障法》...(FBM-CLI.10.458472).txt,privacy
Fujian Province Provisions on Lawyers Performing Their Duties,1991-09-03,provincial,Fujian Province,True,general,[],[],['Leasing & Business Services'],[],[],,False,privacy/3_local_regulations/福建省关于律师执行职务的若干规定(FBM-CLI.10.31360).txt,privacy
Shenzhen Special Economic Zone Road Traffic Safety Management Regulations (2021 Amendment),2021-10-30,city,Shenzhen City,True,general,[],[],"['Transportation, Storage & Postal Services', 'Public Administration, Social Security & Social Organizations']",[],[],,False,privacy/3_local_regulations/深圳经济特区道路交通安全管理条例(2021修正)(FBM-CLI.10.4714338).txt,privacy
Shenzhen Special Economic Zone Safe Construction Regulation,2020-06-30,city,Shenzhen City,True,general,[],[],"['Public Administration, Social Security & Social Organizations', 'Information Transmission, Software & IT Services', 'Health & Social Work', 'Education', 'Financial Intermediation', 'Transportation, Storage & Postal Services']",[],[],Promotes social security and governance without specific privacy measures,False,privacy/3_local_regulations/深圳经济特区平安建设条例(FBM-CLI.10.1607126).txt,privacy
Foshan City Diversified Resolution of Conflicts and Disputes Regulation,2024-06-01,city,Foshan City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/佛山市矛盾纠纷多元化解条例(FBM-CLI.10.7446200).txt,privacy
Zhejiang Province Petition Regulations (2016 Revision),2016-07-29,provincial,Zhejiang Province,False,general,"['Access & Copy', 'Explanation', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates petition handling and protects petitioners' privacy,False,privacy/3_local_regulations/浙江省信访条例(2016修订)(FBM-CLI.10.1208224).txt,privacy
Jilin Province Regulations on the Prevention and Control of Domestic Violence,2007-01-12,provincial,Jilin Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/吉林省预防和制止家庭暴力条例(FBM-CLI.10.143323).txt,privacy
Guizhou Province Contract Supervision Regulation (2023 Amendment),2023-11-29,provincial,Guizhou Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/贵州省合同监督条例(2023修正)(FBM-CLI.10.7279316).txt,privacy
Decision of the Standing Committee of the Jilin Provincial People's Congress on Amending the Measures for the Implementation of the Road Traffic Safety Law of the People's Republic of China in Jilin Province (2014),2014-11-28,provincial,Jilin Province,False,general,[],"['Security & Management', 'Incident Response & Notification']","['Transportation, Storage & Postal Services', 'Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Establishes traffic data platform with privacy protection measures,False,privacy/3_local_regulations/吉林省人民代表大会常务委员会关于修改《吉林...(FBM-CLI.10.937787).txt,privacy
Inner Mongolia Autonomous Region Local Financial Supervision and Administration Regulations,2020-09-23,provincial,Inner Mongolia Autonomous Region,True,general,[],[],['Financial Intermediation'],[],[],,False,privacy/3_local_regulations/内蒙古自治区地方金融监督管理条例(FBM-CLI.10.1638929).txt,privacy
Decision of the Standing Committee of the Jiangsu Provincial People's Congress on Prohibiting Non-Medical Fetal Sex Identification and Selective Termination of Pregnancy (2025 Amendment),2005-07-29,provincial,Jiangsu Province,True,general,[],[],['Health & Social Work'],[],[],Regulates fetal sex identification and selective abortion to protect privacy.,False,privacy/3_local_regulations/江苏省人民代表大会常务委员会关于禁止非医学...(FBM-CLI.10.8478863).txt,privacy
Tianjin Women's Rights Protection Regulations,2016-11-18,city,Tianjin City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/天津市妇女权益保障条例(FBM-CLI.10.1238638).txt,privacy
Zhejiang Province Petition Regulations (2004),2004-01-16,provincial,Zhejiang Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/浙江省信访条例(2004)(FBM-CLI.10.50222).txt,privacy
Shandong Province Social Credit Regulation,2020-07-24,provincial,Shandong Province,False,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification', 'Outsourced Processing']","['Public Administration, Social Security & Social Organizations', 'Information Transmission, Software & IT Services', 'Financial Intermediation']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']","Regulates social credit data collection, use, and protection",False,privacy/3_local_regulations/山东省社会信用条例(FBM-CLI.10.1613920).txt,privacy
Yunnan Province Regulation on the Prevention of Juvenile Delinquency (2022 Revision),2022-07-28,provincial,Yunnan Province,False,sensitive,[],[],"['Education', 'Public Administration, Social Security & Social Organizations']",['Parental Consent for Minors'],[],Protects minors' privacy and personal information rights,False,privacy/3_local_regulations/云南省预防未成年人犯罪条例(2022修订)(FBM-CLI.10.5505463).txt,privacy
Wuhan City Urban Planning Regulations (2010 Amendment),2006-04-26,city,Wuhan City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/武汉市城市规划条例(2010修正)(FBM-CLI.10.488251).txt,privacy
Guangzhou Low-Altitude Economy Development Regulation,2025-01-12,city,Guangzhou City,True,general,[],[],"['Information Transmission, Software & IT Services', 'Transportation, Storage & Postal Services', 'Manufacturing', 'Public Administration, Social Security & Social Organizations', 'Health & Social Work', 'Agriculture, Forestry, Animal Husbandry & Fishery']",[],[],Regulates low-altitude economy development without specific privacy measures,False,privacy/3_local_regulations/广州市低空经济发展条例(FBM-CLI.10.8462686).txt,privacy
Decision of the Standing Committee of Dongying Municipal People's Congress on Amending the Dongying Municipal Code on Promoting Civilized Behavior (2024),2024-01-23,city,Dongying City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/东营市人民代表大会常务委员会关于修改《东营...(FBM-CLI.10.7354885).txt,privacy
Hainan Province Minor Protection Regulations,2015-11-27,provincial,Hainan Province,False,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Convenient Exercise & Remedy', 'Next of Kin']",[],"['Education', 'Health & Social Work', 'Public Administration, Social Security & Social Organizations', 'Culture, Sports & Entertainment']",['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Protects minors' privacy and data rights comprehensively,False,privacy/3_local_regulations/海南省未成年人保护条例(FBM-CLI.10.1139217).txt,privacy
Anshan City Volunteer Service Regulations (2020 Amendment),2015-03-05,city,Anshan City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/鞍山市志愿服务条例(2020修正)(FBM-CLI.10.1670590).txt,privacy
Tangshan Urban and Rural Planning Regulations,2013-10-01,city,Tangshan City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/唐山市城乡规划条例(FBM-CLI.10.713590).txt,privacy
Regulations on Grassroots Legal Service Offices of Hunan Province,2000-09-28,provincial,Hunan Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/湖南省基层法律服务所条例(FBM-CLI.10.19953).txt,privacy
Shanxi Province Legal Aid Regulations (2015 Revision),2015-11-26,provincial,Shanxi Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/山西省法律援助条例(2015修订)(FBM-CLI.10.1203637).txt,privacy
Decision of the Standing Committee of Suzhou Municipal People's Congress on Amending the Suzhou Education Supervision Regulations and the Suzhou Yangtze River Flood Control Project Management Regulations,2023-06-27,city,Suzhou City,True,general,[],[],['Education'],[],[],,False,privacy/3_local_regulations/苏州市人民代表大会常务委员会关于修改《苏州...(FBM-CLI.10.7071809).txt,privacy
Shandong Provincial Local Chronicles Work Regulation,2005-09-29,provincial,Shandong Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/山东省地方史志工作条例(FBM-CLI.10.69487).txt,privacy
Chongqing Municipal People's Congress Standing Committee Regulations on Supervision of Judicial Cases,1996-01-21,city,Chongqing City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/重庆市人大常委会对市司法机关案件监督条例(FBM-CLI.10.11372).txt,privacy
Zhumadian City Elevator Safety Management Regulations,2024-08-21,city,Zhumadian City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/驻马店市电梯安全管理条例(FBM-CLI.10.7719158).txt,privacy
Regulations on the Protection of Minors in Xinjiang Uygur Autonomous Region,2009-09-25,provincial,Xinjiang Uygur Autonomous Region,False,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Convenient Exercise & Remedy']",[],"['Education', 'Public Administration, Social Security & Social Organizations']",['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Protects minors' privacy and personal data rights,False,privacy/3_local_regulations/新疆维吾尔自治区未成年人保护条例(FBM-CLI.10.381227).txt,privacy
Measures for the Implementation of the Supervision Law of the Standing Committees of the People's Congresses at All Levels in Gansu Province,2010-07-29,provincial,Gansu Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/甘肃省实施《中华人民共和国各级人民代表大会...(FBM-CLI.10.442519).txt,privacy
Jiangxi Province Minor Protection Regulation (2022 Revision),2022-09-29,provincial,Jiangxi Province,False,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Convenient Exercise & Remedy']",[],"['Education', 'Health & Social Work', 'Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations', 'Resident Services, Repair & Other Services', 'Culture, Sports & Entertainment', 'Accommodation & Catering']",['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Protects minors' personal data and privacy rights,False,privacy/3_local_regulations/江西省未成年人保护条例(2022修订)(FBM-CLI.10.5573066).txt,privacy
Zhengzhou City Letters and Visits Regulations,1995-09-06,city,Zhengzhou City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/郑州市信访条例(FBM-CLI.10.6107).txt,privacy
Beijing Implementation Measures for the Law on the Protection of Women's Rights and Interests (2009 Revision),2009-09-25,city,Beijing City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/北京市实施《中华人民共和国妇女权益保障法》...(FBM-CLI.10.343073).txt,privacy
Hubei Province Peace Construction Regulation,2024-03-27,provincial,Hubei Province,True,general,[],[],"['Public Administration, Social Security & Social Organizations', 'Information Transmission, Software & IT Services', 'Health & Social Work', 'Financial Intermediation']",[],[],Promotes social security and data protection in governance,False,privacy/3_local_regulations/湖北省平安建设条例(FBM-CLI.10.7434695).txt,privacy
Hainan Province Elderly Care Service Regulation,2023-05-24,provincial,Hainan Province,True,general,[],[],['Health & Social Work'],[],[],"Regulates elderly care services, limited privacy content",False,privacy/3_local_regulations/海南省养老服务条例(FBM-CLI.10.6936734).txt,privacy
Fujian Province Judicial Appraisal Management Regulations,2014-09-26,provincial,Fujian Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/福建省司法鉴定管理条例(FBM-CLI.10.914410).txt,privacy
Regulations on Promoting Convenience of Government Services in Xinjiang Uygur Autonomous Region,2021-09-28,provincial,Xinjiang Uygur Autonomous Region,True,general,[],[],"['Public Administration, Social Security & Social Organizations', 'Information Transmission, Software & IT Services', 'Water Conservancy, Environment & Public Facilities Management', 'Health & Social Work']",[],[],Promotes digital government services and data sharing security,False,privacy/3_local_regulations/新疆维吾尔自治区促进政务服务便利化条例(FBM-CLI.10.4283764).txt,privacy
Yunnan Province Medical Institution Management Regulations,2013-11-29,provincial,Yunnan Province,True,general,[],[],['Health & Social Work'],[],[],,False,privacy/3_local_regulations/云南省医疗机构管理条例(FBM-CLI.10.802598).txt,privacy
