title,date_enacted,legal_status,jurisdiction,jurisdiction_name,general_reference,data_category,individual_rights,handler_responsibilities,sector,keywords,solove_classification,synopsis,pipl_mention,file_path,folder
Hubei Province Anti-Domestic Violence Regulations,29.03.2019,3_local_regulations,provincial,Hubei Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulations to prevent and address domestic violence.,FALSE,3_local_regulations/湖北省反家庭暴力条例(FBM-CLI.10.1508725).txt,privacy
Hebei Province Social Credit Information Regulations,28.09.2017,3_local_regulations,provincial,Hebei Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates collection and use of credit information.,FALSE,3_local_regulations/河北省社会信用信息条例(FBM-CLI.10.1406875).txt,privacy
Regulations on Promoting Digital Economy in Hebei Province,27.05.2022,3_local_regulations,provincial,Hebei Province,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations', 'Health & Social Work', 'Education']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Promotes digital economy and data protection.,FALSE,3_local_regulations/河北省数字经济促进条例(FBM-CLI.10.5114570).txt,privacy
Measures for Implementing the Fire Protection Law of the People's Republic of China in Guangdong Province (2022 Revision),29.03.2022,3_local_regulations,provincial,Guangdong Province,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/广东省实施《中华人民共和国消防法》办法(2022修...(FBM-CLI.10.5055695).txt,privacy
Regulations on Road Traffic Safety in Heilongjiang Province,13.04.2007,3_local_regulations,provincial,Heilongjiang Province,TRUE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/黑龙江省道路交通安全条例(FBM-CLI.10.174458).txt,privacy
Inner Mongolia Autonomous Region Postal Regulations (2016 Revision),30.05.2016,3_local_regulations,provincial,Inner Mongolia Autonomous Region,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']",[],['Information Processing'],Regulates postal service and user rights.,FALSE,3_local_regulations/内蒙古自治区邮政条例(2016修正)(FBM-CLI.10.1214550).txt,privacy
Regulations on the Filing and Review of Normative Documents by the Standing Committee of the People's Congress at All Levels in Gansu Province,29.11.2024,3_local_regulations,provincial,Gansu Province,TRUE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/甘肃省各级人民代表大会常务委员会规范性文件...(FBM-CLI.10.8046989).txt,privacy
Guizhou Province Urban Public Transport Regulations,29.11.2012,3_local_regulations,provincial,Guizhou Province,TRUE,general,[],[],"['Transportation, Storage & Postal Services']",[],[],NA,FALSE,3_local_regulations/贵州省城市公共交通条例(FBM-CLI.10.682061).txt,privacy
Rules of Procedure of the People's Congress of Guizhou Province,20.01.2014,3_local_regulations,provincial,Guizhou Province,TRUE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/贵州省人民代表大会议事规则(2014)(FBM-CLI.10.820167).txt,privacy
Regulations on Social Credit in Heilongjiang Province,13.05.2022,3_local_regulations,provincial,Heilongjiang Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates social credit information management.,FALSE,3_local_regulations/黑龙江省社会信用条例(FBM-CLI.10.5103879).txt,privacy
Yunnan Province AIDS Prevention and Control Regulations,30.11.2006,3_local_regulations,provincial,Yunnan Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']",['Health & Social Work'],"['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulations for AIDS prevention and control.,FALSE,3_local_regulations/云南省艾滋病防治条例(FBM-CLI.10.143156).txt,privacy
Jiangxi Province Telecommunications Regulations (2010 Revision),17.09.2010,3_local_regulations,provincial,Jiangxi Province,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']",[],"['Information Processing', 'Information Dissemination']",Regulates telecommunications and user rights.,FALSE,3_local_regulations/江西省电信条例(2010修正)(FBM-CLI.10.1404939).txt,privacy
Regulations on Promoting the Integrated Social Security Card in the Beijing-Tianjin-Hebei Region,25.09.2024,3_local_regulations,provincial,Hebei Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations', 'Health & Social Work']",[],"['Information Collection', 'Information Processing']",Regulates social security card usage and data protection.,FALSE,3_local_regulations/河北省推进京津冀社会保障卡一卡通规定(FBM-CLI.10.7804357).txt,privacy
Regulations on Domestic Service in Guangdong Province,30.03.2023,3_local_regulations,provincial,Guangdong Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Resident Services, Repair & Other Services']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates domestic service activities and protects personal information.,FALSE,3_local_regulations/广东省家政服务条例(FBM-CLI.10.6518047).txt,privacy
Guizhou Province Postal Regulations,30.11.2010,3_local_regulations,provincial,Guizhou Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulations to protect postal communication privacy.,FALSE,3_local_regulations/贵州省邮政条例(2010)(FBM-CLI.10.465634).txt,privacy
Hunan Province Donation Regulations (2023 Revision),31.05.2023,3_local_regulations,provincial,Hunan Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],[],Regulates donation activities and protects donor rights.,FALSE,3_local_regulations/湖南省募捐条例(2023修正)(FBM-CLI.10.6946396).txt,privacy
Sichuan Provincial People's Mediation Regulations (2021 Revision),28.05.2021,3_local_regulations,provincial,Sichuan Province,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/四川省人民调解条例(2021修正)(FBM-CLI.10.4079708).txt,privacy
Decision of the Standing Committee of the Jiangsu Provincial People's Congress on Prohibiting Non-Medical Fetal Gender Identification and Selective Gender Termination of Pregnancy,29.07.2005,3_local_regulations,provincial,Jiangsu Province,FALSE,sensitive,['Erasure'],"['Security & Management', 'Protection Officer']",['Health & Social Work'],['Parental Consent for Minors'],"['Information Collection', 'Information Processing']",Prohibits non-medical gender selection and protects privacy.,FALSE,3_local_regulations/江苏省人民代表大会常务委员会关于禁止非医学...(FBM-CLI.10.65400).txt,privacy
Measures for Implementing the Supervision Law of the People's Congress at All Levels of the People's Republic of China,26.11.2010,3_local_regulations,provincial,Hebei Province,TRUE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/河北省实施《中华人民共和国各级人民代表大会...(FBM-CLI.10.464622).txt,privacy
Interim Provisions on Lawyers' Execution of Duties in Ningxia Hui Autonomous Region,28.11.1987,3_local_regulations,provincial,Ningxia Hui Autonomous Region,FALSE,general,[],['Security & Management'],"['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates lawyers' duties and privacy responsibilities.,FALSE,3_local_regulations/宁夏回族自治区律师执行职务的暂行规定(FBM-CLI.10.36299).txt,privacy
Anqing City Regulation on Optimizing Business Environment (2024 Revision),22.11.2024,3_local_regulations,provincial,Anhui Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulation to enhance business environment and data protection.,FALSE,3_local_regulations/安庆市优化营商环境条例(2024修正)(FBM-CLI.10.8041022).txt,privacy
Guizhou Province Minor's Family Education Promotion Regulations,03.08.2017,3_local_regulations,provincial,Guizhou Province,FALSE,general,[],[],[],[],[],Promotes family education for minors.,FALSE,3_local_regulations/贵州省未成年人家庭教育促进条例(FBM-CLI.10.1293197).txt,privacy
Shaanxi Province AIDS Prevention Regulations,01.06.2007,3_local_regulations,provincial,Shaanxi Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']",['Health & Social Work'],['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulations for AIDS prevention and control.,FALSE,3_local_regulations/陕西省艾滋病防治条例(FBM-CLI.10.155782).txt,privacy
Gansu Province Legal Aid Regulations (2023 Revision),30.03.2023,3_local_regulations,provincial,Gansu Province,FALSE,general,[],[],"['Public Administration, Social Security & Social Organizations']",[],[],Regulates legal aid services in Gansu.,FALSE,3_local_regulations/甘肃省法律援助条例(2023修订)(FBM-CLI.10.6513438).txt,privacy
Regulations on Public Credit Information Management of Inner Mongolia Autonomous Region,30.03.2021,3_local_regulations,provincial,Inner Mongolia Autonomous Region,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates public credit information management.,FALSE,3_local_regulations/内蒙古自治区公共信用信息管理条例(FBM-CLI.10.1707627).txt,privacy
Liaoning Province Postal Regulations,30.11.2001,3_local_regulations,provincial,Liaoning Province,FALSE,general,[],[],[],[],[],Regulates postal service and communication privacy.,FALSE,3_local_regulations/辽宁省邮政条例(FBM-CLI.10.30800).txt,privacy
Hebei Province Multi-Dispute Resolution Regulations (2024 Revision),28.03.2024,3_local_regulations,provincial,Hebei Province,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/河北省多元化解纠纷条例(2024修正)(FBM-CLI.10.7434606).txt,privacy
Chongqing Minor Protection Regulations,23.07.2010,3_local_regulations,provincial,Chongqing,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Education', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Protects minors' rights and personal information.,FALSE,3_local_regulations/重庆市未成年人保护条例(FBM-CLI.10.442227).txt,privacy
Regulations on Elderly Care Services in Jiangxi Province,19.11.2021,3_local_regulations,provincial,Jiangxi Province,FALSE,general,[],[],['Health & Social Work'],[],[],Regulates elderly care services and facilities.,FALSE,3_local_regulations/江西省养老服务条例(FBM-CLI.10.4719587).txt,privacy
Inner Mongolia Autonomous Region Archives Regulations (2007 Revision),29.09.2007,3_local_regulations,provincial,Inner Mongolia Autonomous Region,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/内蒙古自治区档案条例(2007修订)(FBM-CLI.10.191679).txt,privacy
Regulations on Supervision and Inspection of Natural Resources in Jiangxi Province,26.03.2025,3_local_regulations,provincial,Jiangxi Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],[],Regulates natural resource supervision and inspection.,FALSE,3_local_regulations/江西省自然资源监督检查条例(FBM-CLI.10.8636818).txt,privacy
Regulations on Promoting the Development and Application of Big Data in Heilongjiang Province,13.05.2022,3_local_regulations,provincial,Heilongjiang Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']",[],"['Information Processing', 'Information Dissemination']",Regulates big data management and application.,FALSE,3_local_regulations/黑龙江省促进大数据发展应用条例(FBM-CLI.10.5103881).txt,privacy
Yuncheng City Civilization Behavior Promotion Regulations,27.11.2020,3_local_regulations,provincial,Shanxi Province,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/运城市文明行为促进条例(FBM-CLI.10.1710852).txt,privacy
Luoyang Road Traffic Safety Regulations (Revised 2014),29.11.2013,3_local_regulations,provincial,Henan Province,FALSE,general,[],[],"['Public Administration, Social Security & Social Organizations']",[],[],NA,FALSE,3_local_regulations/洛阳市道路交通安全条例(2014修订)(FBM-CLI.10.824570).txt,privacy
Hubei Province School Safety Regulations,03.06.2020,3_local_regulations,provincial,Hubei Province,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']",['Education'],[],"['Information Collection', 'Information Processing']",Regulates school safety and personal information protection.,FALSE,3_local_regulations/湖北省学校安全条例(FBM-CLI.10.1600566).txt,privacy
Decision of the Standing Committee of the Shaanxi Provincial People's Congress on Strengthening the Public Health Emergency Management System for COVID-19 Prevention and Control,25.03.2020,3_local_regulations,provincial,Shaanxi Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations', 'Health & Social Work']",[],"['Information Collection', 'Information Processing']",Strengthens public health emergency management.,FALSE,3_local_regulations/陕西省人民代表大会常务委员会关于依法做好新...(FBM-CLI.10.1580026).txt,privacy
Sichuan Provincial Social Credit Regulations,25.07.2023,3_local_regulations,provincial,Sichuan Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates social credit information management.,FALSE,3_local_regulations/四川省社会信用条例(FBM-CLI.10.7053558).txt,privacy
"Regulations on Mediation and Handling of Land, Mountain, and Water Rights Disputes in Guangxi Zhuang Autonomous Region",27.09.2002,3_local_regulations,provincial,Guangxi Zhuang Autonomous Region,TRUE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/广西壮族自治区土地山林水利权属纠纷调解处理...(FBM-CLI.10.39557).txt,privacy
Regulations on Public Security Management of Special Industries in Jiangsu Province (Revised 2019),29.03.2019,3_local_regulations,provincial,Jiangsu Province,TRUE,general,[],[],"['Accommodation & Catering', 'Leasing & Business Services']",[],[],NA,FALSE,3_local_regulations/江苏省特种行业治安管理条例(2019修正)(FBM-CLI.10.1516025).txt,privacy
Qinghai Province Postal Regulations (2020 Revision),24.07.2014,3_local_regulations,provincial,Qinghai Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']",[],"['Information Collection', 'Information Processing']",Regulates postal service and user privacy.,FALSE,3_local_regulations/青海省邮政条例(2020修正)(FBM-CLI.10.5692239).txt,privacy
Decision of the Standing Committee of the Shaanxi Provincial People's Congress on Saving Food and Opposing Waste,21.01.2021,3_local_regulations,provincial,Shaanxi Province,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/陕西省人民代表大会常务委员会关于节约粮食反...(FBM-CLI.10.1684157).txt,privacy
Regulations on Promoting Civilized Behavior in Chenzhou City,25.09.2020,3_local_regulations,provincial,Hunan Province,FALSE,general,[],"['Protection Officer', 'Compliance Audits']","['Public Administration, Social Security & Social Organizations']",['Protecting Customer Privacy and Personal Information'],[],Promotes civilized behavior and protects personal information.,FALSE,3_local_regulations/郴州市文明行为促进条例(FBM-CLI.10.1643258).txt,privacy
Measures for Implementing the Law on the Protection of Minors in the Tibet Autonomous Region (Revised in 1997),29.03.1997,3_local_regulations,provincial,Tibet Autonomous Region,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Education', 'Health & Social Work', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Protects minors' rights and personal information.,FALSE,3_local_regulations/西藏自治区实施《中华人民共和国未成年人保护...(FBM-CLI.10.8551).txt,privacy
Regulations on Volunteer Service in Guangdong Province (2020 Revision),27.11.2020,3_local_regulations,provincial,Guangdong Province,FALSE,general,"['Know & Decide', 'Access & Copy']","['Security & Management', 'Protection Officer']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates volunteer service and protects volunteers' rights.,FALSE,3_local_regulations/广东省志愿服务条例(2020修订)(FBM-CLI.10.1658903).txt,privacy
Sichuan Province Volunteer Service Regulations,25.09.2009,3_local_regulations,provincial,Sichuan Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",['Parental Consent for Minors'],"['Information Collection', 'Information Processing']",Regulates volunteer service activities and protects volunteers' rights.,FALSE,3_local_regulations/四川省志愿服务条例(FBM-CLI.10.341475).txt,privacy
Regulations on the Prevention of Birth Defects in Inner Mongolia Autonomous Region,27.09.2024,3_local_regulations,provincial,Inner Mongolia Autonomous Region,FALSE,general,[],"['Security & Management', 'Protection Officer']",['Health & Social Work'],[],[],Regulates birth defect prevention and health services.,FALSE,3_local_regulations/内蒙古自治区出生缺陷防治条例(FBM-CLI.10.7827949).txt,privacy
Hebei Province School Safety Regulations (2023 Revision),28.09.2019,3_local_regulations,provincial,Hebei Province,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/河北省学校安全条例(2023修正)(FBM-CLI.10.6946314).txt,privacy
Regulations on Volunteer Service in Hebei Province,02.12.2016,3_local_regulations,provincial,Hebei Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates volunteer service and protects participants' rights.,FALSE,3_local_regulations/河北省志愿服务条例(FBM-CLI.10.1240119).txt,privacy
Hunan Province Informatization Regulations (2012 Revision),31.05.2012,3_local_regulations,provincial,Hunan Province,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates informatization and data protection.,FALSE,3_local_regulations/湖南省信息化条例(2012修订)(FBM-CLI.10.627882).txt,privacy
Shanxi Province Information Technology Promotion Regulations,01.08.2013,3_local_regulations,provincial,Shanxi Province,FALSE,general,"['Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing']",Regulates information security and privacy protection.,FALSE,3_local_regulations/山西省信息化促进条例(FBM-CLI.10.758292).txt,privacy
Guizhou Province Regulations on the Prevention and Handling of Personal Injury Accidents of Students,29.09.2014,3_local_regulations,provincial,Guizhou Province,TRUE,general,[],[],['Education'],[],[],Regulations for student safety and injury prevention.,FALSE,3_local_regulations/贵州省学校学生人身伤害事故预防与处理条例(FBM-CLI.10.907564).txt,privacy
Regulations on the Management of Public Security Technical Prevention in Sichuan Province,25.09.2009,3_local_regulations,provincial,Sichuan Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates public security technology management.,FALSE,3_local_regulations/四川省公共安全技术防范管理条例(FBM-CLI.10.341477).txt,privacy
Regulations on Scientific and Technological Progress of Jiangsu Province (Revised in 2023),12.01.2023,3_local_regulations,provincial,Jiangsu Province,TRUE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/江苏省科学技术进步条例(2023修订)(FBM-CLI.10.6402874).txt,privacy
Regulations on Supervision by the Standing Committee of the People's Congress at All Levels of Guizhou Province (Amended in 1995),31.03.1995,3_local_regulations,provincial,Guizhou Province,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/贵州省各级人民代表大会常务委员会监督条例(...(FBM-CLI.10.42427).txt,privacy
Regulations on Volunteer Service in Jilin Province,24.11.2005,3_local_regulations,provincial,Jilin Province,FALSE,general,"['Know & Decide', 'Access & Copy']",['Security & Management'],"['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates volunteer service and protects volunteers' rights.,FALSE,3_local_regulations/吉林省志愿服务条例(FBM-CLI.10.68819).txt,privacy
Decision on Amending the Implementation Measures of the Archives Law of the People's Republic of China in Zhejiang Province,28.06.2002,3_local_regulations,provincial,Zhejiang Province,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/浙江省人民代表大会常务委员会关于修改《浙江...(FBM-CLI.10.38052).txt,privacy
Regulations on Big Data Development in Guangxi Zhuang Autonomous Region,25.11.2022,3_local_regulations,provincial,Guangxi Zhuang Autonomous Region,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Cross-Border Transfer', 'Automated Decision-Making Transparency']","['Information Collection', 'Information Processing', 'Information Dissemination']","Regulates data collection, sharing, and protection.",FALSE,3_local_regulations/广西壮族自治区大数据发展条例(FBM-CLI.10.5663790).txt,privacy
Measures for Implementing the Anti-Domestic Violence Law of the People's Republic of China in Guangdong Province,29.07.2020,3_local_regulations,provincial,Guangdong Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Protects victims of domestic violence.,FALSE,3_local_regulations/广东省实施《中华人民共和国反家庭暴力法》办...(FBM-CLI.10.1616425).txt,privacy
Qinghai Province Petition Regulations (2011 Revision),26.05.2011,3_local_regulations,provincial,Qinghai Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Erasure', 'Explanation']","['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates petition rights and processes.,FALSE,3_local_regulations/青海省信访条例(2011修订)(FBM-CLI.10.505281).txt,privacy
Regulations on Public Security Technical Prevention in Heilongjiang Province (Revised in 2015),01.11.2012,3_local_regulations,provincial,Heilongjiang Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates public security technical prevention measures.,FALSE,3_local_regulations/黑龙江省公共安全技术防范条例(2015修正)(FBM-CLI.10.1077082).txt,privacy
Sichuan Province Contract Supervision Regulations,24.07.2010,3_local_regulations,provincial,Sichuan Province,FALSE,general,['Protection of personal privacy'],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],[],Regulates contract supervision and protects privacy.,FALSE,3_local_regulations/四川省合同监督条例(FBM-CLI.10.436882).txt,privacy
Implementation Measures of the Women's Rights Protection Law of the People's Republic of China in Guangxi Zhuang Autonomous Region,28.09.1994,3_local_regulations,provincial,Guangxi Zhuang Autonomous Region,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/广西壮族自治区实施《中华人民共和国妇女权益...(FBM-CLI.10.3948).txt,privacy
Regulations on Public Security Management of Special Industries in Guangxi Zhuang Autonomous Region (Revised 2021),26.05.2021,3_local_regulations,provincial,Guangxi Zhuang Autonomous Region,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Accommodation & Catering', 'Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates security management in special industries.,FALSE,3_local_regulations/广西壮族自治区特种行业治安管理条例(2021修正)(FBM-CLI.10.4079326).txt,privacy
Hebei Province Women's Rights Protection Regulations,28.07.2017,3_local_regulations,provincial,Hebei Province,FALSE,general,[],[],[],[],[],Regulations to protect women's rights.,FALSE,3_local_regulations/河北省妇女权益保障条例(FBM-CLI.10.1292153).txt,privacy
Regulations on Promoting Civilized Behavior in Hainan Province,30.09.2020,3_local_regulations,provincial,Hainan Province,TRUE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/海南省文明行为促进条例(FBM-CLI.10.1640526).txt,privacy
Zhejiang Province Surveying and Mapping Geographic Information Regulations,28.03.2019,3_local_regulations,provincial,Zhejiang Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates geographic information management and security.,FALSE,3_local_regulations/浙江省测绘地理信息条例(FBM-CLI.10.1517859).txt,privacy
Liaoning Province Optimizing Business Environment Regulations (2019),30.07.2019,3_local_regulations,provincial,Liaoning Province,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/辽宁省优化营商环境条例(2019)(FBM-CLI.10.1533372).txt,privacy
Regulations on the Red Cross Society of Fujian Province,01.06.2020,3_local_regulations,provincial,Fujian Province,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/福建省红十字会条例(2020)(FBM-CLI.10.1601081).txt,privacy
Regulations on Safe Construction in Xinjiang Uygur Autonomous Region,28.09.2021,3_local_regulations,provincial,Xinjiang Uygur Autonomous Region,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/新疆维吾尔自治区平安建设条例(FBM-CLI.10.4283775).txt,privacy
Guizhou Province Minor Protection Regulations,28.07.2010,3_local_regulations,provincial,Guizhou Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Education', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Protects minors' rights and privacy.,FALSE,3_local_regulations/贵州省未成年人保护条例(2010)(FBM-CLI.10.437806).txt,privacy
Shanxi Province Talent Market Management Regulations,01.04.2004,3_local_regulations,provincial,Shanxi Province,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/山西省人才市场管理条例(FBM-CLI.10.52210).txt,privacy
Hubei Province Youth Volunteer Service Regulations,26.05.2006,3_local_regulations,provincial,Hubei Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Protection Officer']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates youth volunteer services and protects rights.,FALSE,3_local_regulations/湖北省青年志愿服务条例(FBM-CLI.10.106504).txt,privacy
